periodo,estu_consecutivo,cole_area_ubicacion,cole_bilingue,cole_calendario,cole_genero,cole_jornada,cole_naturaleza,cole_depto_ubicacion,cole_mcpio_ubicacion,estu_genero,fami_estratovivienda,fami_personashogar,fami_tienecomputador,fami_tieneinternet,desemp_ingles,punt_ingles,punt_matematicas,punt_sociales_ciudadanas,punt_c_naturales,punt_lectura_critica,punt_global
20131,SB11201310000414,URBANO,N,B,FEMENINO,COMPLETA,NO OFICIAL,BOGOTA,BOGOTÁ D.C.,F,Estrato 6,Cuatro,Si,Si,B+,94.0,88.0,,,,
20194,SB11201940464873,RURAL,N,A,MIXTO,COMPLETA,OFICIAL,HUILA,AIPE,F,Estrato 2,1 a 2,Si,Si,B1,71.0,66.0,70.0,65.0,69.0,339.0
20194,SB11201940464873,RURAL,N,A,MIXTO,COMPLETA,OFICIAL,HUILA,AIPE,F,Estrato 2,1 a 2,Si,Si,B1,71.0,66.0,70.0,65.0,69.0,339.0
20122,SB11201220204399,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,QUINDIO,CALARCÁ,F,Estrato 1,Cuatro,Si,Si,A1,48.0,45.0,,,,
20132,SB11201320464198,URBANO,N,A,FEMENINO,MAÑANA,OFICIAL,CAUCA,POPAYÁN,F,Estrato 2,Ocho,Si,Si,A-,43.0,52.0,,,,
20194,SB11201940562856,URBANO,N,A,MIXTO,COMPLETA,OFICIAL,HUILA,LA PLATA,F,Estrato 1,5 a 6,No,No,A-,46.0,43.0,31.0,40.0,43.0,199.0
20194,SB11201940562856,URBANO,N,A,MIXTO,COMPLETA,OFICIAL,HUILA,LA PLATA,F,Estrato 1,5 a 6,No,No,A-,46.0,43.0,31.0,40.0,43.0,199.0
20162,SB11201620084846,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,VALLE,CALI,M,Estrato 5,Cinco,Si,Si,A2,59.0,57.0,46.0,57.0,57.0,272.0
20132,SB11201320184630,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,TOLIMA,GUAMO,M,Estrato 1,Tres,No,No,A-,33.0,34.0,,,,
20172,SB11201720518410,URBANO,N,A,MIXTO,SABATINA,NO OFICIAL,ANTIOQUIA,MEDELLIN,F,Estrato 2,5 a 6,No,Si,A-,44.0,53.0,54.0,44.0,54.0,253.0
20102,SB11201020570254,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,PUTUMAYO,COLÓN,F,Estrato 1,Cinco,Si,No,A1,49.66,48.17,,,,
20142,SB11201420428975,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,TOLIMA,SAN LUIS,M,Estrato 1,Cuatro,No,No,A-,42.0,45.0,47.0,43.0,35.0,212.0
20194,SB11201940226736,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,SANTANDER,BUCARAMANGA,F,Estrato 3,3 a 4,Si,Si,A2,61.0,64.0,49.0,59.0,63.0,295.0
20194,SB11201940226736,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,SANTANDER,BUCARAMANGA,F,Estrato 3,3 a 4,Si,Si,A2,61.0,64.0,49.0,59.0,63.0,295.0
20132,SB11201320110716,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ATLANTICO,BARRANQUILLA,F,Estrato 1,Siete,Si,No,A-,40.0,46.0,,,,
20194,SB11201940215679,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,ITAGÜÍ,M,Estrato 3,3 a 4,Si,Si,A1,52.0,66.0,57.0,58.0,48.0,284.0
20194,SB11201940215679,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,ANTIOQUIA,ITAGÜÍ,M,Estrato 3,3 a 4,Si,Si,A1,52.0,66.0,57.0,58.0,48.0,284.0
20194,SB11201940348754,RURAL,,A,MIXTO,SABATINA,OFICIAL,CAQUETA,LA MONTAÑITA,F,Estrato 1,1 a 2,No,Si,A-,29.0,39.0,38.0,34.0,37.0,182.0
20194,SB11201940348754,RURAL,,A,MIXTO,SABATINA,OFICIAL,CAQUETA,LA MONTAÑITA,F,Estrato 1,1 a 2,No,Si,A-,29.0,39.0,38.0,34.0,37.0,182.0
20132,SB11201320432783,URBANO,N,A,MIXTO,NOCHE,OFICIAL,BOGOTA,"BOGOTÁ, D.C.",M,Estrato 2,Seis,No,Si,A1,45.0,54.0,,,,
20142,SB11201420437853,URBANO,N,A,MIXTO,MAÑANA,OFICIAL,VALLE,ZARZAL,M,Estrato 2,Cinco,Si,No,A-,48.0,45.0,29.0,45.0,38.0,200.0
20132,SB11201320525635,URBANO,N,A,MIXTO,NOCHE,OFICIAL,SUCRE,SINCELEJO,F,Estrato 1,Tres,No,No,A-,31.0,34.0,,,,
20102,SB11201020511843,RURAL,N,A,MIXTO,MAÑANA,OFICIAL,BOYACA,PUERTO BOYACÁ,F,Estrato 1,Cuatro,No,No,A-,41.66,45.38,,,,
